"id","service_amount","is_customer_charged_for_service","collected_service_charge","collected_total","entire_date","only_date","month_","year_","day_"
24719396,200,1,0,200,"2021-06-20 00:27:17","2021-06-20",6,2021,20
24719398,200,1,0,200,"2021-06-20 00:27:38","2021-06-20",6,2021,20
24719399,200,1,0,200,"2021-06-20 00:30:59","2021-06-20",6,2021,20
24719400,200,1,0,200,"2021-06-20 00:31:18","2021-06-20",6,2021,20
24719401,200,1,0,200,"2021-06-20 00:31:37","2021-06-20",6,2021,20
24719406,2e+05,1,0,2e+05,"2021-06-20 00:37:14","2021-06-20",6,2021,20
24719426,11000,1,0,11000,"2021-06-20 01:02:44","2021-06-20",6,2021,20
24719427,200,1,0,200,"2021-06-20 01:03:19","2021-06-20",6,2021,20
24719446,30000,1,0,30000,"2021-06-20 01:35:34","2021-06-20",6,2021,20
24719466,10000,1,0,10000,"2021-06-20 02:16:55","2021-06-20",6,2021,20
24719473,300,1,0,300,"2021-06-20 02:28:53","2021-06-20",6,2021,20
24719475,109000,1,0,109000,"2021-06-20 02:35:01","2021-06-20",6,2021,20
24719477,500,1,0,500,"2021-06-20 02:39:26","2021-06-20",6,2021,20
24719508,1e+05,1,0,1e+05,"2021-06-20 03:51:47","2021-06-20",6,2021,20
24719515,3000,1,0,3000,"2021-06-20 04:01:33","2021-06-20",6,2021,20
24719521,50000,1,0,50000,"2021-06-20 04:13:15","2021-06-20",6,2021,20
24719522,30000,1,0,30000,"2021-06-20 04:13:29","2021-06-20",6,2021,20
24719644,1000,1,0,1000,"2021-06-20 05:16:20","2021-06-20",6,2021,20
24719666,2000,1,0,2000,"2021-06-20 05:24:06","2021-06-20",6,2021,20
24719678,3000,1,0,3000,"2021-06-20 05:29:13","2021-06-20",6,2021,20
24719683,7000,1,0,7000,"2021-06-20 05:30:12","2021-06-20",6,2021,20
24719714,50000,1,0,50000,"2021-06-20 05:35:10","2021-06-20",6,2021,20
24719765,5000,1,0,5000,"2021-06-20 05:42:10","2021-06-20",6,2021,20
24719780,10000,1,50,10050,"2021-06-20 05:44:03","2021-06-20",6,2021,20
24719787,10000,1,50,10050,"2021-06-20 05:44:54","2021-06-20",6,2021,20
24719822,2000,1,0,2000,"2021-06-20 05:50:35","2021-06-20",6,2021,20
24719854,5000,1,0,5000,"2021-06-20 05:54:49","2021-06-20",6,2021,20
24719892,10000,1,0,10000,"2021-06-20 06:00:13","2021-06-20",6,2021,20
24719912,7000,1,0,7000,"2021-06-20 06:02:41","2021-06-20",6,2021,20
24719951,21000,1,0,21000,"2021-06-20 06:06:30","2021-06-20",6,2021,20
24719964,3000,1,0,3000,"2021-06-20 06:08:40","2021-06-20",6,2021,20
24719976,200,1,0,200,"2021-06-20 06:09:56","2021-06-20",6,2021,20
24719985,2000,1,0,2000,"2021-06-20 06:10:59","2021-06-20",6,2021,20
24719986,500,1,0,500,"2021-06-20 06:11:14","2021-06-20",6,2021,20
24720000,250,1,0,250,"2021-06-20 06:12:54","2021-06-20",6,2021,20
24720012,45000,1,0,45000,"2021-06-20 06:14:53","2021-06-20",6,2021,20
24720052,10000,1,0,10000,"2021-06-20 06:20:23","2021-06-20",6,2021,20
24720125,50000,1,0,50000,"2021-06-20 06:28:37","2021-06-20",6,2021,20
24720155,500,1,0,500,"2021-06-20 06:30:30","2021-06-20",6,2021,20
24720170,2e+05,1,0,2e+05,"2021-06-20 06:31:52","2021-06-20",6,2021,20
24720187,2500,1,0,2500,"2021-06-20 06:33:40","2021-06-20",6,2021,20
24720192,2e+05,1,0,2e+05,"2021-06-20 06:34:28","2021-06-20",6,2021,20
24720217,2e+05,1,0,2e+05,"2021-06-20 06:36:07","2021-06-20",6,2021,20
24720228,2500,1,0,2500,"2021-06-20 06:36:55","2021-06-20",6,2021,20
24720307,30000,1,0,30000,"2021-06-20 06:44:07","2021-06-20",6,2021,20
